"ID";"Place";"DecLatitude";"DecLongitude";"ModernName";"Dutch"
"200";"Cadiz";"36.529";"-6.3";NULL;NULL
"201";"Cádiz";"36.529";"-6.3";NULL;NULL
"202";"Cadiz (Cadix)";"36.529";"-6.3";NULL;NULL
"203";"Cadiz Bay";"36.5381";"-6.2674";NULL;NULL
"204";"Caicos";"21.8";"-71.75";"Grand Caicos Island";NULL
"205";"Caicos (near Heneago & Dominican Rep.)";"21.6";"-71.9";NULL;NULL
"206";"Caicos Bank";"21.6";"-71.9";NULL;NULL
"207";"Calcutta";"22.5559";"88.3392";"Calcutta";NULL
"208";"Calipima";"10.0676";"73.64";NULL;NULL
"209";"Calipina";"10.0676";"73.64";NULL;NULL
"210";"Callao";"-12.0484";"-77.1499";"Callao, Peru";NULL
"211";"Callicut";"11.2497";"75.7699";"Kozhikode";NULL
"212";"Camarina";"43.1";"-9.2";NULL;NULL
"213";"Camarinas";"43.1";"-9.2";NULL;NULL
"214";"Camero";"-11.75";"43.35";"Ile Grande Comore";NULL
"215";"Canal de Santa Barbara";"34.3";"-120";"Santa Barbara Channel, USA";NULL
"216";"Canala (Minicoy Island, Laccadives?)";"8.2914";"73.061";"Minicoy";NULL
"217";"Canaria";"27.9624";"-15.5661";"Las Palmas de Gran Canaria";NULL
"218";"Cannary";"18.7039";"72.8134";"Khanderi Island seems to fit.";NULL
"219";"Canton";"23.1";"113.25";"Guangzhou (China)";NULL
"220";"Cap";"19.7458";"-72.1932";"Cap-Haïtien";NULL
"221";"Cap Blanc";"20.8374";"-17.1013";"Cap Blanc";NULL
"222";"Cap des Aiguilles (Cape Agulhas)";"-34.83";"20";"Cape Agulhas";NULL
"223";"Cap Francais";"19.7458";"-72.1932";"Cap-Haïtien";NULL
"224";"Cap St Maria";"36.9737";"-7.8666";NULL;NULL
"225";"Cape Aden";"12.7683";"45.0133";"Shamsan South";NULL
"226";"Cape Aden (city)";"12.772";"45.0394";NULL;NULL
"227";"Cape Agulhas";"-34.83";"20";"Cape Agulhas";NULL
"228";"Cape Agulhas (Lagulas), S Africa";"-34.83";"20";"Cape Agulhas";NULL
"229";"Cape Agullas";"-34.83";"20";"Cape Agulhas";NULL
"230";"Cape Ann";"42.6391";"-70.5749";NULL;NULL
"231";"Cape Ann, Maine";"42.6391";"-70.5749";NULL;NULL
"232";"Cape Appolonia";"5.0193";"-2.6584";"Apollonia";NULL
"233";"Cape Babolmandel";"12.675";"43.4617";"Ras Bab-El-Mandeb";NULL
"234";"Cape Bassos";"5.35";"48.5333";"Hobyo";NULL
"235";"Cape Blanca";"20.8374";"-17.1013";"Cap Blanc";NULL
"236";"Cape Blanco";"20.8374";"-17.1013";"Cap Blanc";NULL
"237";"Cape Blanco, Patagonia";"-47.25";"-65.739";"Cabo Blanco";NULL
"238";"Cape Bon Esperance";"-34.3569";"18.4966";"Cape of Good Hope, South Africa";NULL
"239";"Cape Bona";"-34.3569";"18.4966";"Cape of Good Hope, South Africa";NULL
"240";"Cape Bona Esperance";"-34.3569";"18.4966";"Cape of Good Hope, South Africa";NULL
"241";"Cape Brion";"43.6552";"-1.4441";"Cap Breton?";NULL
"242";"Cape Broyle";"47.0671";"-52.8563";NULL;NULL
"243";"Cape Cambell, New Zealand";"-41.7302";"174.2749";"Cape Campbell";NULL
"244";"Cape Canso";"45.3318";"-60.9845";NULL;NULL
"245";"Cape Cantin(?)";"32.5404";"-9.2811";"Ras Cantin";NULL
"246";"Cape Charles";"37.1176";"-75.9073";"Cape Charles, VA";NULL
"247";"Cape Clear";"51.4414";"-9.4848";"Cape Clear, Ireland";NULL
"248";"Cape Coast";"5.1042";"-1.2418";"Cape Coast, Ghana, Africa";NULL
"249";"Cape Coast castle (Ghana), near Elmina?";"5.1042";"-1.2418";"Cape Coast, Ghana, Africa";NULL
"250";"Cape Cod";"42.041";"-70.0646";NULL;NULL
"251";"Cape Cod, Massachusetts (Provincetown)";"42.041";"-70.0646";NULL;NULL
"252";"Cape Comarine";"8.0757";"77.55";"Kanyakumari";NULL
"253";"Cape Comerin";"8.0757";"77.55";"Kanyakumari";NULL
"254";"Cape Comerine";"8.0757";"77.55";"Kanyakumari";NULL
"255";"Cape Commarine";"8.0757";"77.55";"Kanyakumari";NULL
"256";"Cape Commorino";"8.0757";"77.55";"Kanyakumari";NULL
"257";"Cape Comorin (Comaroon), India";"8.0757";"77.55";"Kanyakumari";NULL
"258";"Cape Comtin";"32.5404";"-9.2811";"Ras Cantin";NULL
"259";"Cape Coriantes";"-24.1";"35.5";"Cabo das Correntes";NULL
"260";"Cape Corientes";"-24.1";"35.5";"Cabo das Correntes";NULL
"261";"Cape Cornwell";"50.1267";"-5.7073";"Cape Cornwall";NULL
"262";"Cape Correntes (Corrantes), Mozambique";"-24.1";"35.5";"Cabo das Correntes";NULL
"263";"Cape Correnties";"-24.1";"35.5";NULL;NULL
